Entry,Reviewed,Entry Name,Protein names,Gene Names,Organism,Length,Gene Ontology (cellular component),Subcellular location [CC],Mass,Function [CC],Tissue specificity,Gene Ontology (biological process),Signal peptide,Transit peptide
O95389,reviewed,CCN6_HUMAN,"Cellular communication network factor 6 (CCN family member 6) (WNT1-inducible-signaling pathway protein 3, WISP-3)",CCN6 WISP3 UNQ462/PRO790/PRO956,Homo sapiens (Human),354,extracellular matrix [GO:0031012]; extracellular space [GO:0005615]; mitochondrion [GO:0005739],SUBCELLULAR LOCATION: Secreted {ECO:0000269|PubMed:27252383}. Mitochondrion {ECO:0000269|PubMed:27252383}. Note=Associated with membranes. {ECO:0000269|PubMed:27252383}.,39293,"FUNCTION: Plays a role in mitochondrial electron transport and mitochondrial respiration (PubMed:27252383). Through its regulation of the mitochondrial function may play a role in normal postnatal skeletal growth and cartilage homeostasis (PubMed:27252383, PubMed:10471507). {ECO:0000269|PubMed:10471507, ECO:0000269|PubMed:27252383}.","TISSUE SPECIFICITY: Predominant expression in adult kidney and testis and fetal kidney. Weaker expression found in placenta, ovary, prostate and small intestine (PubMed:9843955, PubMed:10471507). Also expressed in skeletally-derived cells such as synoviocytes and articular cartilage chondrocytes (PubMed:10471507). {ECO:0000269|PubMed:10471507, ECO:0000269|PubMed:9843955}.",cell adhesion [GO:0007155]; cell-cell signaling [GO:0007267]; negative regulation of angiogenesis [GO:0016525]; negative regulation of cell death [GO:0060548]; negative regulation of cell population proliferation [GO:0008285]; regulation of mitochondrial membrane potential [GO:0051881]; regulation of reactive oxygen species biosynthetic process [GO:1903426]; signal transduction [GO:0007165],"SIGNAL 1..23; /evidence=""ECO:0000255""",
O95390,reviewed,GDF11_HUMAN,"Growth/differentiation factor 11, GDF-11 (Bone morphogenetic protein 11, BMP-11)",GDF11 BMP11,Homo sapiens (Human),407,extracellular space [GO:0005615]; intracellular membrane-bounded organelle [GO:0043231]; nucleoplasm [GO:0005654]; protein-containing complex [GO:0032991],SUBCELLULAR LOCATION: Secreted {ECO:0000305}.,45091,"FUNCTION: Secreted signal that acts globally to regulate anterior/posterior axial patterning during development. May play critical roles in patterning both mesodermal and neural tissues (By similarity). It is required for proper vertebral patterning and orofacial development (PubMed:31215115). Signals through activin receptors type-2, ACVR2A and ACVR2B, and activin receptors type-1, ACVR1B, ACVR1C and TGFBR1 leading to the phosphorylation of SMAD2 and SMAD3 (PubMed:28257634). {ECO:0000250|UniProtKB:Q9Z1W4, ECO:0000269|PubMed:28257634, ECO:0000269|PubMed:31215115}.","TISSUE SPECIFICITY: In the embryo, strong expression is seen in the palatal epithelia, including the medial edge epithelial and midline epithelial seam of the palatal shelves. Less pronounced expression is also seen throughout the palatal shelf and tongue mesenchyme. {ECO:0000269|PubMed:31215115}.",amacrine cell differentiation [GO:0035881]; camera-type eye morphogenesis [GO:0048593]; cell population proliferation [GO:0008283]; mesoderm development [GO:0007498]; metanephros development [GO:0001656]; negative regulation of amacrine cell differentiation [GO:1902870]; negative regulation of cell population proliferation [GO:0008285]; nervous system development [GO:0007399]; positive regulation of pathway-restricted SMAD protein phosphorylation [GO:0010862]; roof of mouth development [GO:0060021]; skeletal system development [GO:0001501]; SMAD protein signal transduction [GO:0060395]; spinal cord anterior/posterior patterning [GO:0021512]; type B pancreatic cell maturation [GO:0072560]; ureteric bud development [GO:0001657],"SIGNAL 1..24; /evidence=""ECO:0000255""",
O95393,reviewed,BMP10_HUMAN,"Bone morphogenetic protein 10, BMP-10",BMP10,Homo sapiens (Human),424,cell surface [GO:0009986]; cytoplasm [GO:0005737]; extracellular region [GO:0005576]; extracellular space [GO:0005615]; Z disc [GO:0030018],SUBCELLULAR LOCATION: Secreted {ECO:0000250}.,48047,"FUNCTION: Required for maintaining the proliferative activity of embryonic cardiomyocytes by preventing premature activation of the negative cell cycle regulator CDKN1C/p57KIP and maintaining the required expression levels of cardiogenic factors such as MEF2C and NKX2-5. Acts as a ligand for ACVRL1/ALK1, BMPR1A/ALK3 and BMPR1B/ALK6, leading to activation of SMAD1, SMAD5 and SMAD8 transcription factors. Inhibits endothelial cell migration and growth. May reduce cell migration and cell matrix adhesion in breast cancer cell lines. {ECO:0000269|PubMed:16049014, ECO:0000269|PubMed:17068149, ECO:0000269|PubMed:20608934}.",TISSUE SPECIFICITY: Detected in mammary epithelia (at protein level). {ECO:0000269|PubMed:20608934}.,"activin receptor signaling pathway [GO:0032924]; adult heart development [GO:0007512]; atrial cardiac muscle tissue morphogenesis [GO:0055009]; BMP signaling pathway [GO:0030509]; cardiac muscle cell proliferation [GO:0060038]; cell adhesion [GO:0007155]; heart trabecula formation [GO:0060347]; kidney development [GO:0001822]; negative regulation of cardiac muscle hypertrophy [GO:0010614]; negative regulation of cell growth [GO:0030308]; negative regulation of cell migration [GO:0030336]; negative regulation of endothelial cell migration [GO:0010596]; pathway-restricted SMAD protein phosphorylation [GO:0060389]; positive regulation of cardiac muscle cell proliferation [GO:0060045]; positive regulation of cardiac muscle hypertrophy [GO:0010613]; positive regulation of cartilage development [GO:0061036]; positive regulation of cell proliferation involved in heart morphogenesis [GO:2000138]; positive regulation of gene expression [GO:0010628]; positive regulation of pathway-restricted SMAD protein phosphorylation [GO:0010862]; positive regulation of sarcomere organization [GO:0060298]; positive regulation of transcription, DNA-templated [GO:0045893]; regulation of cardiac muscle contraction [GO:0055117]; regulation of cardiac muscle hypertrophy in response to stress [GO:1903242]; sarcomere organization [GO:0045214]; SMAD protein signal transduction [GO:0060395]; ventricular cardiac muscle cell development [GO:0055015]; ventricular cardiac muscle tissue morphogenesis [GO:0055010]","SIGNAL 1..21; /evidence=""ECO:0000255""",
O95399,reviewed,UTS2_HUMAN,"Urotensin-2 (Urotensin II, U-II, UII)",UTS2 UNQ525/PRO1068,Homo sapiens (Human),124,extracellular region [GO:0005576]; extracellular space [GO:0005615]; synapse [GO:0045202],SUBCELLULAR LOCATION: Secreted.,14296,FUNCTION: Highly potent vasoconstrictor.,TISSUE SPECIFICITY: Brain specific.,blood vessel diameter maintenance [GO:0097746]; chemical synaptic transmission [GO:0007268]; muscle contraction [GO:0006936]; regulation of blood pressure [GO:0008217],SIGNAL 1..20,
O95407,reviewed,TNF6B_HUMAN,"Tumor necrosis factor receptor superfamily member 6B (Decoy receptor 3, DcR3) (Decoy receptor for Fas ligand) (M68)",TNFRSF6B DCR3 TR6 UNQ186/PRO212,Homo sapiens (Human),300,extracellular region [GO:0005576]; extracellular space [GO:0005615],SUBCELLULAR LOCATION: Secreted.,32680,"FUNCTION: Decoy receptor that can neutralize the cytotoxic ligands TNFS14/LIGHT, TNFSF15 and TNFSF6/FASL. Protects against apoptosis. {ECO:0000269|PubMed:21300286}.","TISSUE SPECIFICITY: Detected in fetal lung, brain and liver. Detected in adult stomach, spinal cord, lymph node, trachea, spleen, colon and lung. Highly expressed in several primary tumors from colon, stomach, rectum, esophagus and in SW480 colon carcinoma cells.",apoptotic process [GO:0006915]; negative regulation of apoptotic process [GO:0043066],"SIGNAL 1..29; /evidence=""ECO:0000269|PubMed:10318773""",
O95428,reviewed,PPN_HUMAN,Papilin,PAPLN UNQ2420/PRO4977,Homo sapiens (Human),1278,extracellular matrix [GO:0031012]; extracellular region [GO:0005576],SUBCELLULAR LOCATION: Secreted {ECO:0000305}.,137700,,,extracellular matrix organization [GO:0030198],"SIGNAL 1..18; /evidence=""ECO:0000255""",
O95445,reviewed,APOM_HUMAN,"Apolipoprotein M, Apo-M, ApoM (Protein G3a)",APOM G3A NG20 HSPC336,Homo sapiens (Human),188,discoidal high-density lipoprotein particle [GO:0034365]; extracellular region [GO:0005576]; high-density lipoprotein particle [GO:0034364]; low-density lipoprotein particle [GO:0034362]; spherical high-density lipoprotein particle [GO:0034366]; very-low-density lipoprotein particle [GO:0034361],"SUBCELLULAR LOCATION: Secreted {ECO:0000269|PubMed:17525477, ECO:0000269|PubMed:18279674, ECO:0000269|PubMed:18460466}. Note=Present in high density lipoprotein (HDL) and to a lesser extent in triglyceride-rich lipoproteins (TGRLP) and low density lipoproteins (LDL).",21253,"FUNCTION: Probably involved in lipid transport. Can bind sphingosine-1-phosphate, myristic acid, palmitic acid and stearic acid, retinol, all-trans-retinoic acid and 9-cis-retinoic acid. {ECO:0000269|PubMed:17525477, ECO:0000269|PubMed:19733574}.",TISSUE SPECIFICITY: Plasma protein. Expressed in liver and kidney.,cholesterol efflux [GO:0033344]; cholesterol homeostasis [GO:0042632]; high-density lipoprotein particle assembly [GO:0034380]; high-density lipoprotein particle clearance [GO:0034384]; high-density lipoprotein particle remodeling [GO:0034375]; lipoprotein metabolic process [GO:0042157]; negative regulation of plasma lipoprotein oxidation [GO:0034445]; reverse cholesterol transport [GO:0043691],"SIGNAL 1..?22; /note=""Not cleaved""",
O95450,reviewed,ATS2_HUMAN,"A disintegrin and metalloproteinase with thrombospondin motifs 2, ADAM-TS 2, ADAM-TS2, ADAMTS-2, EC 3.4.24.14 (Procollagen I N-proteinase, PC I-NP) (Procollagen I/II amino propeptide-processing enzyme) (Procollagen N-endopeptidase, pNPI)",ADAMTS2 PCINP PCPNI,Homo sapiens (Human),1211,collagen-containing extracellular matrix [GO:0062023]; extracellular matrix [GO:0031012]; extracellular region [GO:0005576],"SUBCELLULAR LOCATION: Secreted, extracellular space, extracellular matrix {ECO:0000250}.",134755,"FUNCTION: Cleaves the propeptides of type I and II collagen prior to fibril assembly (By similarity). Does not act on type III collagen (By similarity). Cleaves lysyl oxidase LOX at a site downstream of its propeptide cleavage site to produce a short LOX form with reduced collagen-binding activity (PubMed:31152061). {ECO:0000250|UniProtKB:P79331, ECO:0000269|PubMed:31152061}.","TISSUE SPECIFICITY: Expressed at high level in skin, bone, tendon and aorta and at low levels in thymus and brain.",collagen catabolic process [GO:0030574]; collagen fibril organization [GO:0030199]; extracellular matrix organization [GO:0030198]; lung development [GO:0030324]; protein processing [GO:0016485]; skin development [GO:0043588]; spermatogenesis [GO:0007283],"SIGNAL 1..29; /evidence=""ECO:0000255""",
O95460,reviewed,MATN4_HUMAN,Matrilin-4,MATN4,Homo sapiens (Human),622,collagen-containing extracellular matrix [GO:0062023]; extracellular region [GO:0005576],SUBCELLULAR LOCATION: Secreted.,68487,FUNCTION: Major component of the extracellular matrix of cartilage.,"TISSUE SPECIFICITY: Embryonic kidney, lung and placenta.",extracellular matrix organization [GO:0030198],"SIGNAL 1..18; /evidence=""ECO:0000250""",
O95467,reviewed,GNAS3_HUMAN,"Neuroendocrine secretory protein 55, NESP55 [Cleaved into: LHAL tetrapeptide; GPIPIRRH peptide ]",GNAS GNAS1,Homo sapiens (Human),245,cytoplasm [GO:0005737]; extracellular region [GO:0005576]; nucleus [GO:0005634]; perinuclear region of cytoplasm [GO:0048471]; transport vesicle [GO:0030133],"SUBCELLULAR LOCATION: Cytoplasmic vesicle, secretory vesicle {ECO:0000250}. Secreted {ECO:0000250}. Note=Neuroendocrine secretory granules. {ECO:0000250}.",28029,,,female pregnancy [GO:0007565]; negative regulation of multicellular organism growth [GO:0040015]; positive regulation of cold-induced thermogenesis [GO:0120162]; protein secretion [GO:0009306]; response to parathyroid hormone [GO:0071107],"SIGNAL 1..46; /evidence=""ECO:0000250""",
O95631,reviewed,NET1_HUMAN,Netrin-1 (Epididymis tissue protein Li 131P),NTN1 NTN1L,Homo sapiens (Human),604,actin cytoskeleton [GO:0015629]; basement membrane [GO:0005604]; cytosol [GO:0005829]; extracellular region [GO:0005576]; nucleoplasm [GO:0005654],SUBCELLULAR LOCATION: Secreted {ECO:0000269|PubMed:28945198}. Cytoplasm {ECO:0000269|PubMed:28945198}. Note=Mainly secreted. {ECO:0000269|PubMed:28945198}.,67748,"FUNCTION: Netrins control guidance of CNS commissural axons and peripheral motor axons. Its association with either DCC or some UNC5 receptors will lead to axon attraction or repulsion, respectively. Binding to UNC5C might cause dissociation of UNC5C from polymerized TUBB3 in microtubules and thereby lead to increased microtubule dynamics and axon repulsion (PubMed:28483977). Involved in dorsal root ganglion axon projection towards the spinal cord (PubMed:28483977). It also serves as a survival factor via its association with its receptors which prevent the initiation of apoptosis. Involved in tumorigenesis by regulating apoptosis (PubMed:15343335). {ECO:0000269|PubMed:15343335, ECO:0000269|PubMed:28483977}.","TISSUE SPECIFICITY: Widely expressed in normal adult tissues with highest levels in heart, small intestine, colon, liver and prostate. Reduced expression in brain tumors and neuroblastomas. Expressed in epididymis (at protein level). {ECO:0000269|PubMed:20736409, ECO:0000269|PubMed:9950216}.","animal organ morphogenesis [GO:0009887]; anterior/posterior axon guidance [GO:0033564]; apoptotic process [GO:0006915]; Cdc42 protein signal transduction [GO:0032488]; cell-cell adhesion [GO:0098609]; chemorepulsion of axon [GO:0061643]; dendrite development [GO:0016358]; glial cell proliferation [GO:0014009]; inner ear morphogenesis [GO:0042472]; mammary gland duct morphogenesis [GO:0060603]; motor neuron axon guidance [GO:0008045]; motor neuron migration [GO:0097475]; negative regulation of axon extension [GO:0030517]; nuclear migration [GO:0007097]; positive regulation of axon extension [GO:0045773]; positive regulation of cell motility [GO:2000147]; positive regulation of glial cell proliferation [GO:0060252]; Ras protein signal transduction [GO:0007265]; regulation of glial cell migration [GO:1903975]; regulation of synapse assembly [GO:0051963]; substrate-dependent cell migration, cell extension [GO:0006930]; tissue development [GO:0009888]","SIGNAL 1..24; /evidence=""ECO:0000255""",
O95633,reviewed,FSTL3_HUMAN,Follistatin-related protein 3 (Follistatin-like protein 3) (Follistatin-related gene protein),FSTL3 FLRG UNQ674/PRO1308,Homo sapiens (Human),263,endoplasmic reticulum lumen [GO:0005788]; extracellular region [GO:0005576]; extracellular space [GO:0005615]; nucleoplasm [GO:0005654]; nucleus [GO:0005634],"SUBCELLULAR LOCATION: [Isoform 1]: Secreted.; SUBCELLULAR LOCATION: [Isoform 2]: Nucleus. Note=Although alternative initiation has been demonstrated and resulted in different localization, the major source of nuclear FSTL3 appears not to depend on translation initiation at Met-27 according to. {ECO:0000269|PubMed:16150905}.",27663,"FUNCTION: Isoform 1 or the secreted form is a binding and antagonizing protein for members of the TGF-beta family, such us activin, BMP2 and MSTN. Inhibits activin A-, activin B-, BMP2- and MSDT-induced cellular signaling; more effective on activin A than on activin B. Involved in bone formation; inhibits osteoclast differentiationc. Involved in hematopoiesis; involved in differentiation of hemopoietic progenitor cells, increases hematopoietic cell adhesion to fibronectin and seems to contribute to the adhesion of hematopoietic precursor cells to the bone marrow stroma. Isoform 2 or the nuclear form is probably involved in transcriptional regulation via interaction with MLLT10. {ECO:0000269|PubMed:11948405, ECO:0000269|PubMed:15451575, ECO:0000269|PubMed:15574124, ECO:0000269|PubMed:16336961, ECO:0000269|PubMed:17868029, ECO:0000269|PubMed:17878677}.",TISSUE SPECIFICITY: Expressed in a wide range of tissues. {ECO:0000269|PubMed:11459787}.,cell differentiation [GO:0030154]; hematopoietic progenitor cell differentiation [GO:0002244]; negative regulation of activin receptor signaling pathway [GO:0032926]; negative regulation of BMP signaling pathway [GO:0030514]; negative regulation of osteoclast differentiation [GO:0045671]; negative regulation of transmembrane receptor protein serine/threonine kinase signaling pathway [GO:0090101]; ossification [GO:0001503]; positive regulation of cell-cell adhesion [GO:0022409]; positive regulation of transcription by RNA polymerase II [GO:0045944]; regulation of BMP signaling pathway [GO:0030510]; regulation of transcription by RNA polymerase II [GO:0006357],"SIGNAL 1..26; /evidence=""ECO:0000269|PubMed:15340161""",
