,Entry,Reviewed,Entry Name,Protein names,Gene Names,Organism,Length,Gene Ontology (cellular component),Subcellular location [CC],Mass,Function [CC],Tissue specificity,Gene Ontology (biological process),Gene Ontology (molecular function),Signal peptide,Transit peptide,DNA binding,Gene Ontology (GO),Protein families,Zinc finger,Gene Ontology IDs,alternative uniprot ID,Gene ontology (GO)
1559,Q61330,reviewed,CNTN2_MOUSE,"Contactin-2 (Axonal glycoprotein TAG-1) (Axonin-1) (Transient axonal glycoprotein 1, TAX-1)",Cntn2 Tax,Mus musculus (Mouse),1040,anchored component of postsynaptic membrane [GO:0099025]; axon [GO:0030424]; axon initial segment [GO:0043194]; cell surface [GO:0009986]; juxtaparanode region of axon [GO:0044224]; myelin sheath [GO:0043209]; neuron projection [GO:0043005]; neuronal cell body [GO:0043025]; node of Ranvier [GO:0033268]; plasma membrane [GO:0005886]; synapse [GO:0045202],,,,,adult walking behavior [GO:0007628]; axon guidance [GO:0007411]; axonal fasciculation [GO:0007413]; axonogenesis [GO:0007409]; brain development [GO:0007420]; cell-cell adhesion [GO:0098609]; cell-matrix adhesion [GO:0007160]; central nervous system myelination [GO:0022010]; cerebral cortex GABAergic interneuron migration [GO:0021853]; clustering of voltage-gated potassium channels [GO:0045163]; establishment of localization in cell [GO:0051649]; establishment of protein localization to juxtaparanode region of axon [GO:0071206]; fat cell differentiation [GO:0045444]; G protein-coupled adenosine receptor signaling pathway [GO:0001973]; learning [GO:0007612]; microtubule cytoskeleton organization [GO:0000226]; negative regulation of neuron differentiation [GO:0045665]; neuron differentiation [GO:0030182]; neuron migration [GO:0001764]; neuron projection development [GO:0031175]; positive regulation of adenosine receptor signaling pathway [GO:0060168]; positive regulation of protein processing [GO:0010954]; presynaptic membrane organization [GO:0097090]; protein localization to juxtaparanode region of axon [GO:0071205]; protein processing [GO:0016485]; receptor internalization [GO:0031623]; reduction of food intake in response to dietary excess [GO:0002023]; regulation of astrocyte differentiation [GO:0048710]; regulation of axon diameter [GO:0031133]; regulation of cell morphogenesis involved in differentiation [GO:0010769]; regulation of neuronal synaptic plasticity [GO:0048168]; response to dietary excess [GO:0002021],carbohydrate binding [GO:0030246]; cell-cell adhesion mediator activity [GO:0098632]; protein self-association [GO:0043621],,,,anchored component of postsynaptic membrane [GO:0099025]; axon [GO:0030424]; axon initial segment [GO:0043194]; cell surface [GO:0009986]; juxtaparanode region of axon [GO:0044224]; myelin sheath [GO:0043209]; neuron projection [GO:0043005]; neuronal cell body [GO:0043025]; node of Ranvier [GO:0033268]; plasma membrane [GO:0005886]; synapse [GO:0045202]; carbohydrate binding [GO:0030246]; cell-cell adhesion mediator activity [GO:0098632]; protein self-association [GO:0043621]; adult walking behavior [GO:0007628]; axon guidance [GO:0007411]; axonal fasciculation [GO:0007413]; axonogenesis [GO:0007409]; brain development [GO:0007420]; cell-cell adhesion [GO:0098609]; cell-matrix adhesion [GO:0007160]; central nervous system myelination [GO:0022010]; cerebral cortex GABAergic interneuron migration [GO:0021853]; clustering of voltage-gated potassium channels [GO:0045163]; establishment of localization in cell [GO:0051649]; establishment of protein localization to juxtaparanode region of axon [GO:0071206]; fat cell differentiation [GO:0045444]; G protein-coupled adenosine receptor signaling pathway [GO:0001973]; learning [GO:0007612]; microtubule cytoskeleton organization [GO:0000226]; negative regulation of neuron differentiation [GO:0045665]; neuron differentiation [GO:0030182]; neuron migration [GO:0001764]; neuron projection development [GO:0031175]; positive regulation of adenosine receptor signaling pathway [GO:0060168]; positive regulation of protein processing [GO:0010954]; presynaptic membrane organization [GO:0097090]; protein localization to juxtaparanode region of axon [GO:0071205]; protein processing [GO:0016485]; receptor internalization [GO:0031623]; reduction of food intake in response to dietary excess [GO:0002023]; regulation of astrocyte differentiation [GO:0048710]; regulation of axon diameter [GO:0031133]; regulation of cell morphogenesis involved in differentiation [GO:0010769]; regulation of neuronal synaptic plasticity [GO:0048168]; response to dietary excess [GO:0002021],,,GO:0000226; GO:0001764; GO:0001973; GO:0002021; GO:0002023; GO:0005886; GO:0007160; GO:0007409; GO:0007411; GO:0007413; GO:0007420; GO:0007612; GO:0007628; GO:0009986; GO:0010769; GO:0010954; GO:0016485; GO:0021853; GO:0022010; GO:0030182; GO:0030246; GO:0030424; GO:0031133; GO:0031175; GO:0031623; GO:0033268; GO:0043005; GO:0043025; GO:0043194; GO:0043209; GO:0043621; GO:0044224; GO:0045163; GO:0045202; GO:0045444; GO:0045665; GO:0048168; GO:0048710; GO:0051649; GO:0060168; GO:0071205; GO:0071206; GO:0097090; GO:0098609; GO:0098632; GO:0099025,,
1693,G3X995,unreviewed,G3X995_MOUSE,Collagen alpha-1(IX) chain,Col9a1,Mus musculus (Mouse),921,collagen type IX trimer [GO:0005594],,,,,,,,,,collagen type IX trimer [GO:0005594],,,GO:0005594,,
1700,I7HJR1,unreviewed,I7HJR1_MOUSE,Collagen alpha-2(IX) chain,Col9a2,Mus musculus (Mouse),688,collagen type IX trimer [GO:0005594],,,,,,,,,,collagen type IX trimer [GO:0005594],,,GO:0005594,,
1772,Q64735,reviewed,CR1L_MOUSE,Complement component receptor 1-like protein (Complement regulatory protein Crry) (Protein p65),Cr1l Crry Cry,Mus musculus (Mouse),483,basolateral plasma membrane [GO:0016323]; cell surface [GO:0009986]; cytoskeleton [GO:0005856]; external side of plasma membrane [GO:0009897]; integral component of plasma membrane [GO:0005887]; plasma membrane [GO:0005886]; plasma membrane raft [GO:0044853]; receptor complex [GO:0043235],,,,,"cellular response to hypoxia [GO:0071456]; complement activation [GO:0006956]; complement activation, classical pathway [GO:0006958]; female pregnancy [GO:0007565]; in utero embryonic development [GO:0001701]; innate immune response [GO:0045087]; negative regulation of complement activation [GO:0045916]; negative regulation of complement activation, classical pathway [GO:0045959]; regulation of complement activation [GO:0030449]; regulation of complement-dependent cytotoxicity [GO:1903659]; T cell mediated immunity [GO:0002456]",complement component C3b binding [GO:0001851]; complement component C3b receptor activity [GO:0004877]; complement component C4b binding [GO:0001855]; complement component C4b receptor activity [GO:0001861],,,,"basolateral plasma membrane [GO:0016323]; cell surface [GO:0009986]; cytoskeleton [GO:0005856]; external side of plasma membrane [GO:0009897]; integral component of plasma membrane [GO:0005887]; plasma membrane [GO:0005886]; plasma membrane raft [GO:0044853]; receptor complex [GO:0043235]; complement component C3b binding [GO:0001851]; complement component C3b receptor activity [GO:0004877]; complement component C4b binding [GO:0001855]; complement component C4b receptor activity [GO:0001861]; cellular response to hypoxia [GO:0071456]; complement activation [GO:0006956]; complement activation, classical pathway [GO:0006958]; female pregnancy [GO:0007565]; in utero embryonic development [GO:0001701]; innate immune response [GO:0045087]; negative regulation of complement activation [GO:0045916]; negative regulation of complement activation, classical pathway [GO:0045959]; regulation of complement activation [GO:0030449]; regulation of complement-dependent cytotoxicity [GO:1903659]; T cell mediated immunity [GO:0002456]",,,GO:0001701; GO:0001851; GO:0001855; GO:0001861; GO:0002456; GO:0004877; GO:0005856; GO:0005886; GO:0005887; GO:0006956; GO:0006958; GO:0007565; GO:0009897; GO:0009986; GO:0016323; GO:0030449; GO:0043235; GO:0044853; GO:0045087; GO:0045916; GO:0045959; GO:0071456; GO:1903659,,
1840,Q00941,reviewed,CSF2R_MOUSE,"Granulocyte-macrophage colony-stimulating factor receptor subunit alpha, GM-CSF-R-alpha, GMCSFR-alpha, GMR-alpha (CD antigen CD116)",Csf2ra Csfgmra,Mus musculus (Mouse),388,external side of plasma membrane [GO:0009897]; granulocyte macrophage colony-stimulating factor receptor complex [GO:0030526]; plasma membrane [GO:0005886]; receptor complex [GO:0043235],,,,,cytokine-mediated signaling pathway [GO:0019221]; granulocyte-macrophage colony-stimulating factor signaling pathway [GO:0038157]; positive regulation of leukocyte proliferation [GO:0070665]; protein phosphorylation [GO:0006468]; receptor signaling pathway via JAK-STAT [GO:0007259],cytokine binding [GO:0019955]; cytokine receptor activity [GO:0004896],,,,external side of plasma membrane [GO:0009897]; granulocyte macrophage colony-stimulating factor receptor complex [GO:0030526]; plasma membrane [GO:0005886]; receptor complex [GO:0043235]; cytokine binding [GO:0019955]; cytokine receptor activity [GO:0004896]; cytokine-mediated signaling pathway [GO:0019221]; granulocyte-macrophage colony-stimulating factor signaling pathway [GO:0038157]; positive regulation of leukocyte proliferation [GO:0070665]; protein phosphorylation [GO:0006468]; receptor signaling pathway via JAK-STAT [GO:0007259],,,GO:0004896; GO:0005886; GO:0006468; GO:0007259; GO:0009897; GO:0019221; GO:0019955; GO:0030526; GO:0038157; GO:0043235; GO:0070665,,
1861,P61202,reviewed,CSN2_MOUSE,"COP9 signalosome complex subunit 2, SGN2, Signalosome subunit 2 (Alien homolog) (JAB1-containing signalosome subunit 2) (Thyroid receptor-interacting protein 15, TR-interacting protein 15, TRIP-15)",Cops2 Csn2 Trip15,Mus musculus (Mouse),443,COP9 signalosome [GO:0008180]; cytoplasm [GO:0005737]; nucleus [GO:0005634],,,,,"inner cell mass cell proliferation [GO:0001833]; negative regulation of nucleic acid-templated transcription [GO:1903507]; negative regulation of transcription by RNA polymerase II [GO:0000122]; negative regulation of transcription, DNA-templated [GO:0045892]; neuron differentiation [GO:0030182]; protein deneddylation [GO:0000338]; protein phosphorylation [GO:0006468]; skeletal muscle cell differentiation [GO:0035914]; trophectodermal cell proliferation [GO:0001834]",transcription corepressor activity [GO:0003714],,,,"COP9 signalosome [GO:0008180]; cytoplasm [GO:0005737]; nucleus [GO:0005634]; transcription corepressor activity [GO:0003714]; inner cell mass cell proliferation [GO:0001833]; negative regulation of nucleic acid-templated transcription [GO:1903507]; negative regulation of transcription by RNA polymerase II [GO:0000122]; negative regulation of transcription, DNA-templated [GO:0045892]; neuron differentiation [GO:0030182]; protein deneddylation [GO:0000338]; protein phosphorylation [GO:0006468]; skeletal muscle cell differentiation [GO:0035914]; trophectodermal cell proliferation [GO:0001834]",,,GO:0000122; GO:0000338; GO:0001833; GO:0001834; GO:0003714; GO:0005634; GO:0005737; GO:0006468; GO:0008180; GO:0030182; GO:0035914; GO:0045892; GO:1903507,,
1866,O88543,reviewed,CSN3_MOUSE,"COP9 signalosome complex subunit 3, SGN3, Signalosome subunit 3 (JAB1-containing signalosome subunit 3)",Cops3 Csn3,Mus musculus (Mouse),423,COP9 signalosome [GO:0008180]; cytoplasm [GO:0005737]; cytosol [GO:0005829]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; perinuclear region of cytoplasm [GO:0048471],,,,,"in utero embryonic development [GO:0001701]; protein deneddylation [GO:0000338]; regulation of DNA damage response, signal transduction by p53 class mediator resulting in transcription of p21 class mediator [GO:1902162]; ubiquitin-dependent protein catabolic process [GO:0006511]",,,,,"COP9 signalosome [GO:0008180]; cytoplasm [GO:0005737]; cytosol [GO:0005829]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; perinuclear region of cytoplasm [GO:0048471]; in utero embryonic development [GO:0001701]; protein deneddylation [GO:0000338]; regulation of DNA damage response, signal transduction by p53 class mediator resulting in transcription of p21 class mediator [GO:1902162]; ubiquitin-dependent protein catabolic process [GO:0006511]",,,GO:0000338; GO:0001701; GO:0005634; GO:0005654; GO:0005737; GO:0005829; GO:0006511; GO:0008180; GO:0048471; GO:1902162,,
1877,Q9D1B1,unreviewed,Q9D1B1_MOUSE,Cystatin E/M (Cystatin M/E),Cst6,Mus musculus (Mouse),149,cornified envelope [GO:0001533],,,,,epidermis development [GO:0008544],cysteine-type endopeptidase inhibitor activity [GO:0004869],,,,cornified envelope [GO:0001533]; cysteine-type endopeptidase inhibitor activity [GO:0004869]; epidermis development [GO:0008544],,,GO:0001533; GO:0004869; GO:0008544,,
1885,Q14BQ3,unreviewed,Q14BQ3_MOUSE,Cancer/testis antigen 55,Ct55 4930502E18Rik,Mus musculus (Mouse),236,,,,,,,,,,,,,,,,
1896,E9QL79,unreviewed,E9QL79_MOUSE,Chymotrypsin-C,Ctrc,Mus musculus (Mouse),79,,,,,,,,,,,,,,,,
1922,Q9CQ89,reviewed,CUTA_MOUSE,Protein CutA (Brain acetylcholinesterase putative membrane anchor),Cuta,Mus musculus (Mouse),177,membrane [GO:0016020],,,,,protein localization [GO:0008104]; response to metal ion [GO:0010038],copper ion binding [GO:0005507]; enzyme binding [GO:0019899],,,,membrane [GO:0016020]; copper ion binding [GO:0005507]; enzyme binding [GO:0019899]; protein localization [GO:0008104]; response to metal ion [GO:0010038],,,GO:0005507; GO:0008104; GO:0010038; GO:0016020; GO:0019899,,
1976,A1E5L0,unreviewed,A1E5L0_MOUSE,Cytokine-like 1 (Cytokine-like protein C17),Cytl1 4Cytl1,Mus musculus (Mouse),139,,,,,,cartilage homeostasis [GO:1990079]; chondrocyte differentiation [GO:0002062]; chondroitin sulfate proteoglycan biosynthetic process [GO:0050650]; inner ear development [GO:0048839]; positive regulation of DNA-binding transcription factor activity [GO:0051091]; positive regulation of transcription by RNA polymerase II [GO:0045944]; transcription by RNA polymerase II [GO:0006366],,,,,cartilage homeostasis [GO:1990079]; chondrocyte differentiation [GO:0002062]; chondroitin sulfate proteoglycan biosynthetic process [GO:0050650]; inner ear development [GO:0048839]; positive regulation of DNA-binding transcription factor activity [GO:0051091]; positive regulation of transcription by RNA polymerase II [GO:0045944]; transcription by RNA polymerase II [GO:0006366],,,GO:0002062; GO:0006366; GO:0045944; GO:0048839; GO:0050650; GO:0051091; GO:1990079,,
1981,O88809,reviewed,DCX_MOUSE,"Neuronal migration protein doublecortin (Doublin) (Lissencephalin-X, Lis-X)",Dcx Dcn,Mus musculus (Mouse),366,axon [GO:0030424]; axoneme [GO:0005930]; cytoplasm [GO:0005737]; dendrite [GO:0030425]; growth cone [GO:0030426]; microtubule [GO:0005874]; neuron projection [GO:0043005]; neuronal cell body [GO:0043025],,,,,axon extension [GO:0048675]; axoneme assembly [GO:0035082]; brain development [GO:0007420]; central nervous system projection neuron axonogenesis [GO:0021952]; dendrite morphogenesis [GO:0048813]; hippocampus development [GO:0021766]; intracellular signal transduction [GO:0035556]; layer formation in cerebral cortex [GO:0021819]; neuron migration [GO:0001764]; photoreceptor cell development [GO:0042461]; positive regulation of collateral sprouting [GO:0048672]; positive regulation of endocytosis [GO:0045807]; pyramidal neuron development [GO:0021860]; retina development in camera-type eye [GO:0060041],microtubule binding [GO:0008017]; protein kinase binding [GO:0019901],,,,axon [GO:0030424]; axoneme [GO:0005930]; cytoplasm [GO:0005737]; dendrite [GO:0030425]; growth cone [GO:0030426]; microtubule [GO:0005874]; neuron projection [GO:0043005]; neuronal cell body [GO:0043025]; microtubule binding [GO:0008017]; protein kinase binding [GO:0019901]; axon extension [GO:0048675]; axoneme assembly [GO:0035082]; brain development [GO:0007420]; central nervous system projection neuron axonogenesis [GO:0021952]; dendrite morphogenesis [GO:0048813]; hippocampus development [GO:0021766]; intracellular signal transduction [GO:0035556]; layer formation in cerebral cortex [GO:0021819]; neuron migration [GO:0001764]; photoreceptor cell development [GO:0042461]; positive regulation of collateral sprouting [GO:0048672]; positive regulation of endocytosis [GO:0045807]; pyramidal neuron development [GO:0021860]; retina development in camera-type eye [GO:0060041],,,GO:0001764; GO:0005737; GO:0005874; GO:0005930; GO:0007420; GO:0008017; GO:0019901; GO:0021766; GO:0021819; GO:0021860; GO:0021952; GO:0030424; GO:0030425; GO:0030426; GO:0035082; GO:0035556; GO:0042461; GO:0043005; GO:0043025; GO:0045807; GO:0048672; GO:0048675; GO:0048813; GO:0060041,,
2003,Q8CHS7,reviewed,DRS7C_MOUSE,"Dehydrogenase/reductase SDR family member 7C, EC 1.1.1.105 (Sarcoplasmic reticulum protein of 35 kDa, Protein SRP-35) (Short-chain dehydrogenase/reductase family 32C member 2, Protein SDR32C2)",Dhrs7c Sdr32c2 Srp-35,Mus musculus (Mouse),311,longitudinal sarcoplasmic reticulum [GO:0014801]; sarcoplasmic reticulum membrane [GO:0033017],,,,,cellular calcium ion homeostasis [GO:0006874]; glucose import [GO:0046323]; regulation of release of sequestered calcium ion into cytosol by sarcoplasmic reticulum [GO:0010880],"NAD-retinol dehydrogenase activity [GO:0004745]; oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor [GO:0016616]",,,,"longitudinal sarcoplasmic reticulum [GO:0014801]; sarcoplasmic reticulum membrane [GO:0033017]; NAD-retinol dehydrogenase activity [GO:0004745]; oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor [GO:0016616]; cellular calcium ion homeostasis [GO:0006874]; glucose import [GO:0046323]; regulation of release of sequestered calcium ion into cytosol by sarcoplasmic reticulum [GO:0010880]",,,GO:0004745; GO:0006874; GO:0010880; GO:0014801; GO:0016616; GO:0033017; GO:0046323,,
2018,A0A140LI59,unreviewed,A0A140LI59_MOUSE,Deleted in malignant brain tumors 1 protein (Hensin),Dmbt1,Mus musculus (Mouse),1957,extracellular region [GO:0005576]; integral component of membrane [GO:0016021],,,,,cell differentiation [GO:0030154]; protein transport [GO:0015031],scavenger receptor activity [GO:0005044],,,,extracellular region [GO:0005576]; integral component of membrane [GO:0016021]; scavenger receptor activity [GO:0005044]; cell differentiation [GO:0030154]; protein transport [GO:0015031],,,GO:0005044; GO:0005576; GO:0015031; GO:0016021; GO:0030154,,
2028,Q8CE22,reviewed,DMTF1_MOUSE,"Cyclin-D-binding Myb-like transcription factor 1 (Cyclin-D-interacting Myb-like protein 1, mDmp1)",Dmtf1 Dmp1,Mus musculus (Mouse),761,cytosol [GO:0005829]; nucleoplasm [GO:0005654]; nucleus [GO:0005634],,,,,"cell cycle [GO:0007049]; positive regulation of transcription by RNA polymerase II [GO:0045944]; regulation of transcription by RNA polymerase II [GO:0006357]; regulation of transcription, DNA-templated [GO:0006355]","DNA-binding transcription activator activity, RNA polymerase II-specific [GO:0001228]; DNA-binding transcription factor activity [GO:0003700]; DNA-binding transcription factor activity, RNA polymerase II-specific [GO:0000981]; RNA polymerase II cis-regulatory region sequence-specific DNA binding [GO:0000978]; transcription cis-regulatory region binding [GO:0000976]",,,,"cytosol [GO:0005829]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; DNA-binding transcription activator activity, RNA polymerase II-specific [GO:0001228]; DNA-binding transcription factor activity [GO:0003700]; DNA-binding transcription factor activity, RNA polymerase II-specific [GO:0000981]; RNA polymerase II cis-regulatory region sequence-specific DNA binding [GO:0000978]; transcription cis-regulatory region binding [GO:0000976]; cell cycle [GO:0007049]; positive regulation of transcription by RNA polymerase II [GO:0045944]; regulation of transcription by RNA polymerase II [GO:0006357]; regulation of transcription, DNA-templated [GO:0006355]",,,GO:0000976; GO:0000978; GO:0000981; GO:0001228; GO:0003700; GO:0005634; GO:0005654; GO:0005829; GO:0006355; GO:0006357; GO:0007049; GO:0045944,,
